timestamp,iteration,portfolio_value,cash,market_return
2026-02-11T15:58:40.881010,1,1016.3965411195633,1016.3965411195633,1.741395507463805
2026-02-11T15:59:10.883278,2,1024.4506598724952,1024.4506598724952,0.8933122577276157
2026-02-11T15:59:40.886660,3,1037.5019561380163,1037.5019561380163,1.375355330817919
2026-02-11T16:00:10.888183,4,1039.8531394336728,1039.8531394336728,0.3269465960093266
2026-02-11T16:00:40.889794,5,1054.746274614642,1054.746274614642,1.5337682459993094
2026-02-11T16:01:10.891368,6,1072.5179062682219,1072.5179062682219,1.78670677535515
2026-02-11T16:01:40.892842,7,1079.3723775882615,1079.3723775882615,0.7398407153935108
2026-02-11T16:02:10.894623,8,1122.6283788266705,1122.6283788266705,4.111625819861027
2026-02-11T16:02:40.896141,9,1103.9513848833558,1103.9513848833558,-1.5652497151689218
2026-02-11T16:03:10.898730,10,1119.859927303162,1119.859927303162,1.5425972158925227
2026-02-11T16:03:40.901394,11,1130.1338437421798,1130.1338437421798,1.0184471530590964
2026-02-11T16:04:10.904041,12,1138.4359287786244,1138.4359287786244,0.8354462255075455
2026-02-11T16:04:40.906383,13,1109.716014231001,1109.716014231001,-2.4251771231580608
2026-02-11T16:05:10.907748,14,1115.0846846122954,1115.0846846122954,0.5843721441909576
2026-02-11T16:05:40.909170,15,1138.4225280091725,1138.4225280091725,2.1951162835212648
2026-02-11T16:06:10.910621,16,1136.335287551531,1136.335287551531,-0.08342839973403415
2026-02-11T16:06:40.912048,17,1142.634338934234,1142.634338934234,0.6549853358678496
2026-02-11T16:07:10.914431,18,1143.1990772012552,1143.1990772012552,0.1495738075959856
2026-02-11T16:07:40.915907,19,1152.9267537967057,1152.9267537967057,0.9518689830228191
2026-02-11T16:08:10.917406,20,1165.6051055533014,1165.6051055533014,1.2008675823015582
2026-02-11T16:08:40.919010,21,1169.5910302770567,1169.5910302770567,0.4424042491969439
2026-02-11T16:09:10.920539,22,1153.4505318956421,1153.4505318956421,-1.2812934484314609
2026-02-11T16:09:40.922017,23,1157.495782401537,1157.495782401537,0.4511597852558908
2026-02-11T16:10:10.923500,24,1172.2923944575916,1172.2923944575916,1.3797093828919322
2026-02-11T16:10:40.925837,25,1190.6783887172942,1190.6783887172942,1.670049606330282
2026-02-11T16:11:10.927406,26,1199.9944638186603,1199.9944638186603,0.8833007183555541
2026-02-11T16:11:40.930009,27,1204.8934144276861,1204.8934144276861,0.5087565240542762
2026-02-11T16:12:10.932416,28,1179.942667047748,1179.942667047748,-1.9727573662928373
2026-02-11T16:12:40.933945,29,1204.4946045091676,1204.4946045091676,2.1829567220142976
2026-02-11T16:13:10.936503,30,1211.3413488818123,1211.3413488818123,0.6691020653192002
2026-02-11T16:13:40.938636,31,1235.9537315886384,1235.9537315886384,2.1339627887051913
2026-02-11T16:14:10.941093,32,1282.6463047191037,1282.6463047191037,3.881739432410039
2026-02-11T16:14:40.943774,33,1303.7128936812346,1303.7128936812346,1.7441758333076138
2026-02-11T16:15:10.945418,34,1285.3886184541086,1285.3886184541086,-1.306852146354862
2026-02-11T16:15:40.946976,35,1316.4120276489587,1316.4120276489587,2.5160592281540546
2026-02-11T16:16:10.949457,36,1339.590022053642,1339.590022053642,1.8625570750427902
2026-02-11T16:16:40.951271,37,1341.6520025442196,1341.6520025442196,0.2541804158035854
2026-02-11T16:17:10.952823,38,1370.8262778631204,1370.8262778631204,2.27678069553908
2026-02-11T16:17:40.954363,39,1345.1697723967288,1345.1697723967288,-1.7733821980419784
2026-02-11T16:18:10.956895,40,1346.9823330492081,1346.9823330492081,0.23498084636264957
2026-02-11T16:18:40.958683,41,1390.222483243361,1390.222483243361,3.313463227870176
2026-02-11T16:19:10.960263,42,1398.9917205099537,1398.9917205099537,0.7315109273365842
2026-02-11T16:19:40.962399,43,1409.0117871971447,1409.0117871971447,0.8170519331187467
2026-02-11T16:20:10.964686,44,1424.91429334045,1424.91429334045,1.2298581839227118
2026-02-11T16:20:40.967024,45,1426.0140361196593,1426.0140361196593,0.17735693077245543
2026-02-11T16:21:10.968558,46,1443.9021720814455,1443.9021720814455,1.3557709105020976
2026-02-11T16:21:40.970529,47,1474.099395736354,1474.099395736354,2.1935557157558674
2026-02-11T16:22:10.980118,48,1548.006831690293,1548.006831690293,5.1188537598120805
2026-02-11T16:22:40.981805,49,1548.410999527547,1548.410999527547,0.12623515334284466
2026-02-11T16:23:10.984922,50,1557.0081458743819,1557.0081458743819,0.6558796768119516
2026-02-11T16:23:40.987628,51,1579.882878660759,1579.882878660759,1.570717352647297
2026-02-11T16:24:10.989326,52,1586.57336157141,1586.57336157141,0.5240036806249385
